raceId,driverId,constructorId,qualifying_position,starting_grid,race_finish_position,year,race_name,driver_name,nationality,constructor_name,position_change
18,1,1,1,1,1,2008,Australian Grand Prix,Lewis Hamilton,British,McLaren,0
18,9,2,2,2,9,2008,Australian Grand Prix,Robert Kubica,Polish,BMW Sauber,-7
18,5,1,3,3,5,2008,Australian Grand Prix,Heikki Kovalainen,Finnish,McLaren,-2
18,13,6,4,4,13,2008,Australian Grand Prix,Felipe Massa,Brazilian,Ferrari,-9
18,2,2,5,5,2,2008,Australian Grand Prix,Nick Heidfeld,German,BMW Sauber,3
18,15,7,6,6,15,2008,Australian Grand Prix,Jarno Trulli,Italian,Toyota,-9
18,3,3,7,7,3,2008,Australian Grand Prix,Nico Rosberg,German,Williams,4
18,14,9,8,8,14,2008,Australian Grand Prix,David Coulthard,British,Red Bull,-6
18,10,7,9,18,10,2008,Australian Grand Prix,Timo Glock,German,Toyota,-1
18,20,5,10,9,20,2008,Australian Grand Prix,Sebastian Vettel,German,Toro Rosso,-10
18,22,11,11,10,22,2008,Australian Grand Prix,Rubens Barrichello,Brazilian,Honda,-11
18,4,4,12,11,4,2008,Australian Grand Prix,Fernando Alonso,Spanish,Renault,8
18,18,11,13,12,18,2008,Australian Grand Prix,Jenson Button,British,Honda,-5
18,6,3,14,13,6,2008,Australian Grand Prix,Kazuki Nakajima,Japanese,Williams,8
18,17,9,15,14,17,2008,Australian Grand Prix,Mark Webber,Australian,Red Bull,-2
18,8,6,16,15,8,2008,Australian Grand Prix,Kimi Räikkönen,Finnish,Ferrari,8
18,21,10,17,16,21,2008,Australian Grand Prix,Giancarlo Fisichella,Italian,Force India,-4
18,7,5,18,17,7,2008,Australian Grand Prix,Sébastien Bourdais,French,Toro Rosso,11
18,16,10,19,22,16,2008,Australian Grand Prix,Adrian Sutil,German,Force India,3
18,11,8,20,19,11,2008,Australian Grand Prix,Takuma Sato,Japanese,Super Aguri,9
18,12,4,21,20,12,2008,Australian Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,9
18,19,8,22,21,19,2008,Australian Grand Prix,Anthony Davidson,British,Super Aguri,3
19,13,6,1,1,19,2008,Malaysian Grand Prix,Felipe Massa,Brazilian,Ferrari,-18
